date,open,high,low,close
2003-09-22 00:00:00+00:00,92.90899999999999,92.979,92.177,92.59299999999999
2003-09-23 00:00:00+00:00,92.68299999999999,93.307,92.50200000000001,93.117
2003-09-24 00:00:00+00:00,93.16,93.20700000000001,91.346,91.355
2003-09-25 00:00:00+00:00,91.617,92.006,90.85799999999999,90.85799999999999
2003-09-26 00:00:00+00:00,90.759,90.89399999999999,90.235,90.325
2003-09-29 00:00:00+00:00,90.61399999999999,91.229,90.181,91.12899999999999
2003-09-30 00:00:00+00:00,90.822,90.831,89.711,90.262
2003-10-01 00:00:00+00:00,90.56,92.213,90.56,92.193
2003-10-02 00:00:00+00:00,92.087,92.575,91.84299999999999,92.43
2003-10-03 00:00:00+00:00,93.65899999999999,94.19200000000001,93.18,93.334
2003-10-06 00:00:00+00:00,93.48899999999999,93.912,93.25200000000001,93.713
2003-10-07 00:00:00+00:00,93.288,94.18299999999999,93.02600000000001,94.145
2003-10-08 00:00:00+00:00,94.255,94.273,93.45100000000001,93.695
2003-10-09 00:00:00+00:00,94.743,95.059,93.83,94.065
2003-10-10 00:00:00+00:00,94.18299999999999,94.354,93.89399999999999,94.12899999999999
2003-10-13 00:00:00+00:00,94.603,95.095,94.436,94.743
2003-10-14 00:00:00+00:00,94.68,95.15,94.36399999999999,95.113
2003-10-15 00:00:00+00:00,95.637,95.637,94.561,94.869
2003-10-16 00:00:00+00:00,94.589,95.51100000000001,94.589,95.15
2003-10-17 00:00:00+00:00,95.285,95.32700000000001,93.96600000000001,94.17399999999999
2003-10-20 00:00:00+00:00,94.361,94.689,93.921,94.65299999999999
2003-10-21 00:00:00+00:00,94.742,95.086,94.52600000000001,94.77
2003-10-22 00:00:00+00:00,93.97,94.12799999999999,93.225,93.46
2003-10-23 00:00:00+00:00,92.954,93.89399999999999,92.954,93.695
2003-10-24 00:00:00+00:00,92.90899999999999,93.271,92.331,93.26100000000001
2003-10-27 00:00:00+00:00,93.73100000000001,94.083,93.325,93.45100000000001
2003-10-28 00:00:00+00:00,93.912,94.87799999999999,93.81200000000001,94.869
2003-10-29 00:00:00+00:00,94.635,95.177,94.60700000000001,95.03200000000001
2003-10-30 00:00:00+00:00,95.574,95.574,94.725,94.869
2003-10-31 00:00:00+00:00,95.22200000000001,95.51100000000001,95.068,95.23100000000001
2003-11-03 00:00:00+00:00,95.538,96.306,95.538,96.089
2003-11-04 00:00:00+00:00,95.74600000000001,95.99,95.384,95.583
2003-11-05 00:00:00+00:00,95.31200000000001,95.68299999999999,94.788,95.412
2003-11-06 00:00:00+00:00,95.439,96.098,95.014,95.97200000000001
2003-11-07 00:00:00+00:00,96.34200000000001,96.414,95.475,95.601
2003-11-10 00:00:00+00:00,95.52,95.583,94.88799999999999,95.014
2003-11-11 00:00:00+00:00,94.94200000000001,95.131,94.698,94.969
2003-11-12 00:00:00+00:00,95.068,96.161,95.023,96.098
2003-11-13 00:00:00+00:00,95.764,96.20700000000001,95.574,96.044
2003-11-14 00:00:00+00:00,96.125,96.62200000000001,95.16799999999999,95.31200000000001
2003-11-17 00:00:00+00:00,94.76100000000001,94.94200000000001,94.029,94.725
2003-11-18 00:00:00+00:00,95.07700000000001,95.24,93.89399999999999,93.89399999999999
2003-11-19 00:00:00+00:00,93.984,94.833,93.90299999999999,94.68
2003-11-20 00:00:00+00:00,93.975,95.068,93.821,93.89399999999999
2003-11-21 00:00:00+00:00,94.17399999999999,94.24600000000001,93.641,94.038
2003-11-24 00:00:00+00:00,94.58,95.538,94.58,95.538
2003-11-25 00:00:00+00:00,95.52,96.134,95.31200000000001,95.8
2003-11-26 00:00:00+00:00,96.14299999999999,96.14299999999999,95.249,96.125
2003-11-28 00:00:00+00:00,96.01700000000001,96.34200000000001,95.945,96.234
2003-12-01 00:00:00+00:00,96.53200000000001,97.273,96.514,97.182
2003-12-02 00:00:00+00:00,97.01100000000001,97.336,96.77600000000001,96.839
2003-12-03 00:00:00+00:00,97.255,97.634,96.76700000000001,96.76700000000001
2003-12-04 00:00:00+00:00,96.821,97.291,96.64,97.291
2003-12-05 00:00:00+00:00,96.803,97.119,96.333,96.53200000000001
2003-12-08 00:00:00+00:00,96.405,97.227,96.405,97.155
2003-12-09 00:00:00+00:00,97.471,97.48,96.26100000000001,96.34200000000001
2003-12-10 00:00:00+00:00,96.459,96.631,95.773,96.21600000000001
2003-12-11 00:00:00+00:00,96.396,97.634,96.396,97.40799999999999
2003-12-12 00:00:00+00:00,97.544,97.715,97.04700000000001,97.652
2003-12-15 00:00:00+00:00,98.62799999999999,98.62799999999999,97.12799999999999,97.12799999999999
2003-12-16 00:00:00+00:00,97.255,97.833,97.164,97.742
