Unnamed: 0,open,high,low,close
2005-01-04,1260.78,1260.782,1238.187,1242.77
2005-01-05,1240.61,1258.53,1235.747,1251.94
2005-01-06,1252.73,1252.735,1234.319,1239.43
2005-01-07,1239.32,1255.9489999999998,1235.515,1244.75
2005-01-10,1243.58,1252.629,1236.221,1252.4
2005-01-11,1252.71,1260.8319999999999,1247.838,1257.46
2005-01-12,1257.17,1257.17,1246.422,1256.92
2005-01-13,1255.45,1259.487,1251.016,1256.31
2005-01-14,1256.0,1268.838,1243.873,1245.62
2005-01-17,1235.57,1236.381,1214.1,1216.65
2005-01-18,1216.86,1226.007,1207.052,1225.45
2005-01-19,1224.65,1224.651,1214.68,1218.11
2005-01-20,1211.05,1213.932,1199.167,1204.39
2005-01-21,1201.93,1237.774,1189.211,1234.48
2005-01-24,1264.5,1265.8239999999998,1239.812,1255.78
2005-01-25,1252.35,1254.599,1239.226,1254.23
2005-01-26,1252.37,1254.06,1240.183,1241.96
2005-01-27,1239.58,1241.099,1223.877,1225.89
2005-01-28,1223.73,1226.244,1208.913,1213.67
2005-01-31,1210.76,1210.755,1190.277,1191.82
2005-02-01,1189.5,1203.032,1187.276,1188.93
2005-02-02,1190.52,1253.025,1190.487,1252.5
2005-02-03,1253.81,1269.013,1236.1789999999999,1242.31
2005-02-04,1238.61,1273.907,1235.665,1269.0
2005-02-16,1278.54,1291.407,1270.394,1278.88
2005-02-17,1280.03,1280.028,1263.711,1276.13
2005-02-18,1275.66,1278.624,1258.5610000000001,1258.97
2005-02-21,1259.53,1284.859,1259.528,1284.48
2005-02-22,1285.88,1312.533,1282.786,1309.28
2005-02-23,1308.92,1316.5639999999999,1299.146,1309.47
2005-02-24,1305.34,1310.878,1296.979,1309.95
2005-02-25,1311.37,1328.4370000000001,1311.205,1312.44
2005-02-28,1311.44,1315.08,1298.928,1306.0
2005-03-01,1305.25,1308.738,1295.7160000000001,1303.41
2005-03-02,1303.31,1316.723,1285.9560000000001,1287.45
2005-03-03,1285.2,1295.25,1276.9389999999999,1294.34
2005-03-04,1294.38,1299.593,1286.481,1287.71
2005-03-07,1288.41,1296.843,1287.798,1293.74
2005-03-08,1298.25,1318.895,1297.205,1318.27
