timestamp,open,high,low,close,volume
2020-05-29 16:00:00,124.9800,125.1300,124.7900,125.0200,308071
2020-05-29 15:55:00,124.2000,125.0300,124.0500,124.9800,219266
2020-05-29 15:50:00,124.2100,124.2700,123.8600,124.0500,91845
2020-05-29 15:45:00,124.2100,124.2700,124.0600,124.2500,64866
2020-05-29 15:40:00,124.0400,124.2500,124.0100,124.2300,56702
2020-05-29 15:35:00,124.1200,124.2700,123.8960,124.0000,42429
2020-05-29 15:30:00,124.3200,124.3800,123.9900,124.1505,52555
2020-05-29 15:25:00,124.1000,124.3550,124.0500,124.3300,25250
2020-05-29 15:20:00,124.0800,124.1800,123.9500,124.1086,46314
2020-05-29 15:15:00,124.3100,124.3900,124.0300,124.0800,28841
2020-05-29 15:10:00,124.5000,124.5100,124.1800,124.3500,34670
2020-05-29 15:05:00,124.0900,124.5800,124.0600,124.5250,57252
2020-05-29 15:00:00,122.8000,124.1400,122.7700,124.0700,85625
2020-05-29 14:55:00,123.0200,123.0300,122.3900,122.7500,91649
2020-05-29 14:50:00,123.2600,123.2800,123.0000,123.0500,40144
2020-05-29 14:45:00,123.4200,123.5400,123.2500,123.2500,24662
2020-05-29 14:40:00,123.6100,123.6600,123.3700,123.3800,23297
2020-05-29 14:35:00,123.6000,123.6600,123.4500,123.6100,28741
2020-05-29 14:30:00,123.3700,123.6800,123.3300,123.5800,28388
2020-05-29 14:25:00,123.3400,123.4600,123.2400,123.3700,25388
2020-05-29 14:20:00,123.1200,123.3499,123.0500,123.3499,25466
2020-05-29 14:15:00,123.3300,123.4500,123.1100,123.1100,30164
2020-05-29 14:10:00,122.6970,123.3200,122.6450,123.3200,63404
2020-05-29 14:05:00,122.8600,122.9200,122.6800,122.6800,22141
2020-05-29 14:00:00,122.8100,122.8900,122.8022,122.8600,22533
2020-05-29 13:55:00,122.8050,122.8150,122.6600,122.8000,21012
2020-05-29 13:50:00,122.7250,122.8780,122.6900,122.8200,14092
2020-05-29 13:45:00,122.6900,122.8100,122.6800,122.7300,13529
2020-05-29 13:40:00,122.9200,122.9200,122.7000,122.7000,17736
